Name,Color,Product_Category,Rating,Standard_Price_$,Sale_Price_$,Sale_%,Image
Disney Princess Sweatshirt,Belle,girls-clothes-girls-sweaters-sweatshirts,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw175c4342/images/main/62350/62350_GD6_110_01.jpg?sw=369&q=90
Print Capri Leggings,Pink Florals,girls-clothing-pants-leggings-shorts,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwee7be094/images/main/62251/62251_TE4_110_01.jpg?sw=369&q=90
Print Capri Leggings,Hanna White Multi,girls-clothing-pants-leggings-shorts,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd196f41b/images/main/62251/62251_GL7_110_01.jpg?sw=369&q=90
Snap Romper In Organic Cotton,Heather Grey/Hanna White,baby-girl-rompers,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3d7bbac1/images/main/57435/57435_GN1_60_01.jpg?sw=369&q=90
Peanuts Birthday Long John Pajamas,Ecru,pajamas-baby,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwf012d5dc/images/main/62324/62324_76X_110_01.jpg?sw=369&q=90
Sunblock One Piece,Tomato,girls-clothing-swimsuits,3.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw105896a6/images/main/60414/60414_63O_110_01.jpg?sw=369&q=90
Print Tee,Lookout Blue,boys-clothing-tops-shirts,4.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9782c3d7/images/main/62420/62420_77M_110_01.jpg?sw=369&q=90
Long John Pajamas In Organic Cotton,Apple,pajamas-kids,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw21f61f5f/images/main/64396/64396_QQ9_110_01.jpg?sw=369&q=90
DC Wonder Woman Dress,Wonder Woman,root,4.5,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw77850e5f/images/main/62148/62148_BY8_110_01.jpg?sw=369&q=90
Long John Pajamas In Organic Cotton,Dancers,pajamas-kids,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwefb950c3/images/main/51573/51573_NB9_110_01.jpg?sw=369&q=90
Disney Mickey Mouse Short John Pajamas In Organic Cotton,Mickey Mouse Red,pajamas-kids,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw699ced11/images/main/55402/55402_NK7_110_01.jpg?sw=369&q=90
Long John Pajamas In Organic Cotton,Skeleton Crew White,pajamas-kids,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9de060e6/images/main/51573/51573_BT2_110_01.jpg?sw=369&q=90
Colorblock Sweatpants,Dark Heather Grey,root,Not Rated,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4318c12c/images/main/64368/64368_J81_110_01.jpg?sw=369&q=90
Sunblock UV Art Tee,Deep Orange,boys-clothing-tops-shirts,4.5,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw18e4f17d/images/main/61127/61127_W10_110_01.jpg?sw=369&q=90
Peanuts Glow-In-The-Dark Art Tee,Snoopy,boys-clothing-tops-shirts,5.0,46.0,22.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw594cdf1c/images/main/57568/57568_BH5_110_01.jpg?sw=369&q=90
Bright Baby Basics Dress in Organic Cotton,Baltic Blue,root,5.0,46.0,22.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw88e91758/images/main/61987/61987_NV2_60_01.jpg?sw=369&q=90
Disney Princess Tutu In Soft Tulle,Belle,girls-clothes-skirts-shorts,4.5,54.0,21.99,40.72,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwf6d8a8d4/images/main/62358/62358_GD6_110_01.jpg?sw=369&q=90
Soft Art Tee,Soft Sage,girls-clothing-tops-shirts,4.5,54.0,21.99,40.72,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw1bcba7b7/images/main/62523/62523_N48_110_01.jpg?sw=369&q=90
